Price,Open,High,Low,Close,Volume
Ticker,ACRS,ACRS,ACRS,ACRS,ACRS
Date,,,,,
2024-01-01 19:00:00-05:00,1.100000023841858,1.100000023841858,1.0490000247955322,1.0499999523162842,1726400
2024-01-02 19:00:00-05:00,1.0700000524520874,1.1799999475479126,1.0299999713897705,1.1200000047683716,2856500
2024-01-03 19:00:00-05:00,1.1299999952316284,1.1799999475479126,1.0700000524520874,1.100000023841858,1547100
2024-01-04 19:00:00-05:00,1.0800000429153442,1.1200000047683716,1.0399999618530273,1.059999942779541,1265600
2024-01-07 19:00:00-05:00,1.0800000429153442,1.1799999475479126,1.0499999523162842,1.1799999475479126,2166800
2024-01-08 19:00:00-05:00,1.1799999475479126,1.3200000524520874,1.1399999856948853,1.2799999713897705,2652100
2024-01-09 19:00:00-05:00,1.0700000524520874,1.1399999856948853,0.9120000004768372,1.0049999952316284,8468000
2024-01-10 19:00:00-05:00,0.9700000286102295,1.0099999904632568,0.9330000281333923,0.9570000171661377,8625000
2024-01-11 19:00:00-05:00,0.949999988079071,1.0,0.8560000061988831,0.9240000247955322,3047100
2024-01-15 19:00:00-05:00,1.059999942779541,1.25,1.0399999618530273,1.159999966621399,6040600
2024-01-16 19:00:00-05:00,1.1299999952316284,1.2400000095367432,1.090999960899353,1.1799999475479126,2343100
2024-01-17 19:00:00-05:00,1.2000000476837158,1.2200000286102295,1.1399999856948853,1.1799999475479126,1722500
2024-01-18 19:00:00-05:00,1.1799999475479126,1.2000000476837158,1.13100004196167,1.1399999856948853,1997100
2024-01-21 19:00:00-05:00,1.190000057220459,1.2899999618530273,1.1549999713897705,1.2599999904632568,3481600
2024-01-22 19:00:00-05:00,1.2400000095367432,1.3200000524520874,1.2400000095367432,1.2799999713897705,2272700
2024-01-23 19:00:00-05:00,1.2899999618530273,1.309999942779541,1.25,1.2599999904632568,1013900
2024-01-24 19:00:00-05:00,1.2599999904632568,1.2979999780654907,1.2000000476837158,1.25,783500
2024-01-25 19:00:00-05:00,1.2699999809265137,1.2949999570846558,1.2200000286102295,1.2300000190734863,697200
2024-01-28 19:00:00-05:00,1.25,1.2649999856948853,1.2000000476837158,1.2200000286102295,1469700
2024-01-29 19:00:00-05:00,1.2300000190734863,1.2300000190734863,1.1799999475479126,1.2100000381469727,719400
2024-01-30 19:00:00-05:00,1.2100000381469727,1.2300000190734863,1.159999966621399,1.159999966621399,613900
2024-01-31 19:00:00-05:00,1.1799999475479126,1.2400000095367432,1.1649999618530273,1.2000000476837158,901000
2024-02-01 19:00:00-05:00,1.1799999475479126,1.2350000143051147,1.1699999570846558,1.2100000381469727,689100
2024-02-04 19:00:00-05:00,1.2200000286102295,1.2300000190734863,1.149999976158142,1.149999976158142,696200
2024-02-05 19:00:00-05:00,1.149999976158142,1.190000057220459,1.1200000047683716,1.1399999856948853,903000
