Price,Open,High,Low,Close,Volume
Ticker,BATRA,BATRA,BATRA,BATRA,BATRA
Date,,,,,
2024-01-01 19:00:00-05:00,42.869998931884766,43.0,42.099998474121094,42.279998779296875,38500
2024-01-02 19:00:00-05:00,42.2400016784668,42.349998474121094,41.650001525878906,41.72999954223633,41400
2024-01-03 19:00:00-05:00,41.849998474121094,41.959999084472656,41.630001068115234,41.75,22300
2024-01-04 19:00:00-05:00,41.56999969482422,42.209999084472656,41.56999969482422,42.0099983215332,34000
2024-01-07 19:00:00-05:00,42.29999923706055,43.220001220703125,42.189998626708984,43.150001525878906,59200
2024-01-08 19:00:00-05:00,42.900001525878906,42.95500183105469,42.439998626708984,42.619998931884766,23400
2024-01-09 19:00:00-05:00,42.459999084472656,42.779998779296875,42.29999923706055,42.540000915527344,22700
2024-01-10 19:00:00-05:00,42.2599983215332,42.560001373291016,41.86199951171875,42.13999938964844,21700
2024-01-11 19:00:00-05:00,42.54999923706055,42.619998931884766,42.04100036621094,42.33000183105469,29100
2024-01-15 19:00:00-05:00,42.2400016784668,42.2400016784668,41.709999084472656,42.09000015258789,28300
2024-01-16 19:00:00-05:00,41.81999969482422,42.20000076293945,41.5,42.11000061035156,20500
2024-01-17 19:00:00-05:00,42.130001068115234,42.349998474121094,41.564998626708984,41.7400016784668,30400
2024-01-18 19:00:00-05:00,42.029998779296875,42.56999969482422,41.810001373291016,42.560001373291016,40800
2024-01-21 19:00:00-05:00,43.0,43.4900016784668,42.54499816894531,43.130001068115234,41800
2024-01-22 19:00:00-05:00,43.4900016784668,43.939998626708984,43.4900016784668,43.869998931884766,25000
2024-01-23 19:00:00-05:00,43.880001068115234,44.189998626708984,43.099998474121094,43.709999084472656,43400
2024-01-24 19:00:00-05:00,43.66999816894531,44.25,43.66999816894531,43.93000030517578,32100
2024-01-25 19:00:00-05:00,43.84000015258789,44.0099983215332,43.13999938964844,43.310001373291016,21100
2024-01-28 19:00:00-05:00,43.279998779296875,44.119998931884766,43.0,43.9900016784668,35400
2024-01-29 19:00:00-05:00,44.060001373291016,44.380001068115234,43.55799865722656,44.06999969482422,21100
2024-01-30 19:00:00-05:00,44.04999923706055,44.319000244140625,43.060001373291016,43.06999969482422,25600
2024-01-31 19:00:00-05:00,43.22999954223633,43.619998931884766,43.0,43.619998931884766,23600
2024-02-01 19:00:00-05:00,43.22999954223633,43.48500061035156,42.82500076293945,42.9900016784668,27600
2024-02-04 19:00:00-05:00,42.66999816894531,42.900001525878906,42.36800003051758,42.66999816894531,31900
