Price,Open,High,Low,Close,Volume
Ticker,BIO,BIO,BIO,BIO,BIO
Date,,,,,
2024-01-01 19:00:00-05:00,320.7300109863281,331.3699951171875,320.04998779296875,327.989990234375,205500
2024-01-02 19:00:00-05:00,326.5299987792969,326.5299987792969,317.30999755859375,318.8599853515625,137500
2024-01-03 19:00:00-05:00,318.3399963378906,321.5299987792969,313.6099853515625,316.4800109863281,121900
2024-01-04 19:00:00-05:00,314.2300109863281,319.9700012207031,314.2300109863281,316.3800048828125,157100
2024-01-07 19:00:00-05:00,316.6099853515625,323.2200012207031,315.7699890136719,321.9800109863281,119100
2024-01-08 19:00:00-05:00,319.57000732421875,329.7200012207031,316.989990234375,317.7699890136719,207100
2024-01-09 19:00:00-05:00,316.67999267578125,321.0199890136719,313.0299987792969,320.760009765625,158800
2024-01-10 19:00:00-05:00,318.80999755859375,323.6099853515625,316.9100036621094,320.8299865722656,183200
2024-01-11 19:00:00-05:00,323.1099853515625,325.4200134277344,316.29998779296875,318.55999755859375,150200
2024-01-15 19:00:00-05:00,316.0799865722656,317.29998779296875,312.3699951171875,315.2200012207031,171600
2024-01-16 19:00:00-05:00,311.6000061035156,319.1600036621094,303.2099914550781,304.1199951171875,134000
2024-01-17 19:00:00-05:00,304.4599914550781,308.260009765625,303.2099914550781,304.1099853515625,307000
2024-01-18 19:00:00-05:00,304.54998779296875,307.5899963378906,302.6499938964844,306.6199951171875,281000
2024-01-21 19:00:00-05:00,307.7099914550781,315.04998779296875,307.7099914550781,312.8399963378906,147800
2024-01-22 19:00:00-05:00,316.44000244140625,316.760009765625,311.0799865722656,315.25,150800
2024-01-23 19:00:00-05:00,316.30999755859375,318.6099853515625,314.3699951171875,316.55999755859375,210300
2024-01-24 19:00:00-05:00,321.3399963378906,324.6000061035156,316.010009765625,316.29998779296875,312300
2024-01-25 19:00:00-05:00,333.510009765625,338.19000244140625,327.6600036621094,329.04998779296875,358600
2024-01-28 19:00:00-05:00,327.69000244140625,331.94000244140625,326.3299865722656,330.0400085449219,230800
2024-01-29 19:00:00-05:00,330.44000244140625,334.5899963378906,329.04998779296875,332.4100036621094,155000
2024-01-30 19:00:00-05:00,334.67999267578125,334.67999267578125,320.8900146484375,320.8900146484375,186300
2024-01-31 19:00:00-05:00,320.3599853515625,329.4100036621094,320.3599853515625,328.9599914550781,145500
2024-02-01 19:00:00-05:00,325.6000061035156,327.1700134277344,318.42999267578125,320.42999267578125,172100
2024-02-04 19:00:00-05:00,319.0,322.0199890136719,316.2200012207031,318.7200012207031,102100
2024-02-05 19:00:00-05:00,319.79998779296875,325.7300109863281,319.30999755859375,325.010009765625,184700
2024-02-06 19:00:00-05:00,327.739990234375,328.3900146484375,321.6199951171875,325.1600036621094,180100
2024-02-07 19:00:00-05:00,322.739990234375,328.5199890136719,322.739990234375,326.1099853515625,131900
2024-02-08 19:00:00-05:00,326.1099853515625,327.489990234375,322.6199951171875,325.2200012207031,116100
2024-02-11 19:00:00-05:00,325.9200134277344,328.7900085449219,324.55999755859375,326.30999755859375,155200
2024-02-12 19:00:00-05:00,322.0,323.20001220703125,312.17999267578125,316.1000061035156,200500
2024-02-13 19:00:00-05:00,317.8399963378906,328.1300048828125,315.8900146484375,327.9100036621094,174000
2024-02-14 19:00:00-05:00,326.75,334.8500061035156,326.75,328.7300109863281,230800
2024-02-15 19:00:00-05:00,350.0,364.239990234375,335.7099914550781,340.5199890136719,518600
2024-02-19 19:00:00-05:00,337.29998779296875,346.1099853515625,337.29998779296875,343.760009765625,296800
2024-02-20 19:00:00-05:00,341.8599853515625,350.3299865722656,335.1499938964844,338.6400146484375,571100
2024-02-21 19:00:00-05:00,341.2699890136719,342.0,336.0799865722656,338.4700012207031,390400
2024-02-22 19:00:00-05:00,340.6000061035156,341.3699951171875,336.3800048828125,337.989990234375,277100
2024-02-25 19:00:00-05:00,336.6700134277344,339.010009765625,335.82000732421875,338.1600036621094,267400
2024-02-26 19:00:00-05:00,340.2099914550781,340.2099914550781,328.4100036621094,329.739990234375,200200
2024-02-27 19:00:00-05:00,329.7300109863281,331.67999267578125,326.760009765625,330.3500061035156,223300
2024-02-28 19:00:00-05:00,331.6600036621094,334.989990234375,325.19000244140625,325.8800048828125,279300
2024-02-29 19:00:00-05:00,324.92999267578125,335.9800109863281,322.0299987792969,332.29998779296875,310200
2024-03-03 19:00:00-05:00,332.8699951171875,338.67999267578125,331.9100036621094,334.6700134277344,145400
2024-03-04 19:00:00-05:00,332.9100036621094,336.5,329.92999267578125,330.94000244140625,196800
2024-03-05 19:00:00-05:00,334.2200012207031,339.489990234375,331.1400146484375,333.25,145700
2024-03-06 19:00:00-05:00,335.82000732421875,339.3999938964844,334.2200012207031,339.3999938964844,116800
2024-03-07 19:00:00-05:00,339.3999938964844,345.30999755859375,339.3999938964844,343.760009765625,141100
2024-03-10 20:00:00-04:00,343.7200012207031,347.989990234375,341.6400146484375,344.25,112400
2024-03-11 20:00:00-04:00,344.30999755859375,344.30999755859375,336.3500061035156,337.2200012207031,148800
2024-03-12 20:00:00-04:00,338.4200134277344,340.7900085449219,334.7799987792969,336.42999267578125,129200
2024-03-13 20:00:00-04:00,334.4700012207031,335.67999267578125,329.1600036621094,332.3999938964844,153000
2024-03-14 20:00:00-04:00,328.1400146484375,336.3599853515625,328.1400146484375,333.510009765625,166900
2024-03-17 20:00:00-04:00,333.8699951171875,336.7300109863281,332.6300048828125,333.42999267578125,146300
2024-03-18 20:00:00-04:00,331.67999267578125,337.2300109863281,329.2799987792969,336.4800109863281,127900
2024-03-19 20:00:00-04:00,334.5,338.0400085449219,332.2200012207031,336.2900085449219,172200
2024-03-20 20:00:00-04:00,339.6499938964844,352.57000732421875,337.25,351.989990234375,211000
2024-03-21 20:00:00-04:00,354.07000732421875,360.1300048828125,350.42999267578125,350.4599914550781,327600
2024-03-24 20:00:00-04:00,350.05999755859375,350.05999755859375,337.1499938964844,341.1099853515625,167600
2024-03-25 20:00:00-04:00,342.7699890136719,343.8299865722656,340.0400085449219,340.5199890136719,109900
2024-03-26 20:00:00-04:00,342.6300048828125,350.0899963378906,339.20001220703125,349.55999755859375,189700
2024-03-27 20:00:00-04:00,350.32000732421875,350.32000732421875,345.04998779296875,345.8699951171875,137900
2024-03-31 20:00:00-04:00,346.8299865722656,346.8299865722656,337.2099914550781,338.9800109863281,261900
2024-04-01 20:00:00-04:00,335.7699890136719,337.45001220703125,328.44000244140625,328.7200012207031,225700
2024-04-02 20:00:00-04:00,322.1300048828125,333.29998779296875,322.1300048828125,328.17999267578125,200300
2024-04-03 20:00:00-04:00,330.5,331.92999267578125,322.0199890136719,322.8299865722656,130200
2024-04-04 20:00:00-04:00,322.3800048828125,328.3699951171875,322.3800048828125,324.5899963378906,159000
2024-04-07 20:00:00-04:00,324.6000061035156,329.30999755859375,324.5199890136719,326.32000732421875,201300
2024-04-08 20:00:00-04:00,330.260009765625,339.8999938964844,329.3599853515625,339.4800109863281,101500
2024-04-09 20:00:00-04:00,330.2900085449219,332.010009765625,326.6000061035156,331.0899963378906,105600
2024-04-10 20:00:00-04:00,330.4100036621094,330.489990234375,311.6600036621094,311.8699951171875,271100
