Price,Open,High,Low,Close,Volume
Ticker,AXDX,AXDX,AXDX,AXDX,AXDX
Date,,,,,
2024-01-01 19:00:00-05:00,4.010000228881836,4.239999771118164,3.7899999618530273,4.230000019073486,18600
2024-01-02 19:00:00-05:00,4.050000190734863,4.150000095367432,3.8499999046325684,3.9800000190734863,25100
2024-01-03 19:00:00-05:00,4.070000171661377,4.070000171661377,3.799999952316284,3.8399999141693115,23600
2024-01-04 19:00:00-05:00,3.799999952316284,3.8299999237060547,3.6600000858306885,3.7899999618530273,9200
2024-01-07 19:00:00-05:00,3.7200000286102295,3.950000047683716,3.6700000762939453,3.859999895095825,20900
2024-01-08 19:00:00-05:00,3.75,3.9000000953674316,3.7200000286102295,3.9000000953674316,12300
2024-01-09 19:00:00-05:00,3.940000057220459,4.050000190734863,3.759999990463257,3.859999895095825,17400
2024-01-10 19:00:00-05:00,3.9000000953674316,4.050000190734863,3.799999952316284,3.9000000953674316,30900
2024-01-11 19:00:00-05:00,3.809999942779541,3.9000000953674316,3.690000057220459,3.700000047683716,6600
2024-01-15 19:00:00-05:00,2.759999990463257,3.049999952316284,2.700000047683716,2.8299999237060547,156900
2024-01-16 19:00:00-05:00,2.740000009536743,2.9100000858306885,2.059999942779541,2.1500000953674316,210900
2024-01-17 19:00:00-05:00,2.1700000762939453,2.3299999237060547,1.590000033378601,1.6100000143051147,446200
2024-01-18 19:00:00-05:00,1.2400000095367432,1.2999999523162842,0.9200000166893005,1.2300000190734863,1933600
2024-01-21 19:00:00-05:00,1.2400000095367432,1.4800000190734863,1.2100000381469727,1.25,632800
2024-01-22 19:00:00-05:00,1.2599999904632568,1.340000033378601,1.149999976158142,1.340000033378601,392700
2024-01-23 19:00:00-05:00,1.340000033378601,1.340000033378601,1.2000000476837158,1.2999999523162842,249700
2024-01-24 19:00:00-05:00,1.2699999809265137,1.3700000047683716,1.1799999475479126,1.350000023841858,260200
2024-01-25 19:00:00-05:00,1.2899999618530273,1.3200000524520874,1.25,1.2799999713897705,90700
2024-01-28 19:00:00-05:00,1.309999942779541,1.3799999952316284,1.2999999523162842,1.350000023841858,126700
2024-01-29 19:00:00-05:00,1.3200000524520874,1.4700000286102295,1.309999942779541,1.399999976158142,144700
2024-01-30 19:00:00-05:00,1.399999976158142,1.399999976158142,1.3200000524520874,1.3300000429153442,58100
2024-01-31 19:00:00-05:00,1.2999999523162842,1.3700000047683716,1.2000000476837158,1.2300000190734863,101500
2024-02-01 19:00:00-05:00,1.2599999904632568,1.2599999904632568,1.0,1.100000023841858,124100
2024-02-04 19:00:00-05:00,1.090000033378601,1.25,1.0800000429153442,1.2100000381469727,319000
2024-02-05 19:00:00-05:00,1.190000057220459,1.2200000286102295,1.1399999856948853,1.1699999570846558,53500
2024-02-06 19:00:00-05:00,1.2000000476837158,1.2000000476837158,1.1299999952316284,1.159999966621399,22600
2024-02-07 19:00:00-05:00,1.159999966621399,1.3300000429153442,1.149999976158142,1.2899999618530273,179200
2024-02-08 19:00:00-05:00,1.3200000524520874,1.350000023841858,1.1799999475479126,1.2000000476837158,53500
2024-02-11 19:00:00-05:00,1.25,1.2899999618530273,1.149999976158142,1.1799999475479126,59000
2024-02-12 19:00:00-05:00,1.1799999475479126,1.2200000286102295,1.1799999475479126,1.2000000476837158,25800
2024-02-13 19:00:00-05:00,1.2300000190734863,1.2400000095367432,1.2000000476837158,1.2200000286102295,39300
2024-02-14 19:00:00-05:00,1.2799999713897705,1.2799999713897705,1.1799999475479126,1.190000057220459,30300
2024-02-15 19:00:00-05:00,1.2300000190734863,1.2300000190734863,1.100000023841858,1.1799999475479126,33700
2024-02-19 19:00:00-05:00,1.2400000095367432,1.2400000095367432,1.100000023841858,1.1799999475479126,68300
2024-02-20 19:00:00-05:00,1.149999976158142,1.1699999570846558,1.1100000143051147,1.1399999856948853,21400
2024-02-21 19:00:00-05:00,1.1399999856948853,1.149999976158142,0.9300000071525574,0.949999988079071,166400
2024-02-22 19:00:00-05:00,0.9200000166893005,1.0299999713897705,0.8299999833106995,0.9700000286102295,67700
2024-02-25 19:00:00-05:00,0.949999988079071,1.0499999523162842,0.8999999761581421,0.9599999785423279,62600
2024-02-26 19:00:00-05:00,0.9900000095367432,1.0099999904632568,0.8600000143051147,0.9100000262260437,45600
2024-02-27 19:00:00-05:00,0.8999999761581421,1.0099999904632568,0.8999999761581421,0.9300000071525574,45900
2024-02-28 19:00:00-05:00,0.9700000286102295,1.0,0.949999988079071,0.9900000095367432,53400
2024-02-29 19:00:00-05:00,1.0299999713897705,1.0800000429153442,0.949999988079071,0.9700000286102295,21800
2024-03-03 19:00:00-05:00,0.9700000286102295,1.090000033378601,0.9700000286102295,1.0299999713897705,137100
2024-03-04 19:00:00-05:00,1.0499999523162842,1.0800000429153442,1.0499999523162842,1.059999942779541,70800
2024-03-05 19:00:00-05:00,1.149999976158142,1.190000057220459,1.059999942779541,1.100000023841858,112300
2024-03-06 19:00:00-05:00,1.100000023841858,1.190000057220459,1.059999942779541,1.0800000429153442,67300
2024-03-07 19:00:00-05:00,1.1399999856948853,1.190000057220459,1.0700000524520874,1.149999976158142,48800
2024-03-10 20:00:00-04:00,1.190000057220459,1.190000057220459,1.1100000143051147,1.1399999856948853,26400
2024-03-11 20:00:00-04:00,1.1100000143051147,1.1299999952316284,1.0,1.0499999523162842,70100
2024-03-12 20:00:00-04:00,1.0,1.0800000429153442,1.0,1.0800000429153442,38500
2024-03-13 20:00:00-04:00,1.059999942779541,1.0800000429153442,0.9599999785423279,1.0,48600
2024-03-14 20:00:00-04:00,0.9700000286102295,1.0,0.949999988079071,0.949999988079071,144500
2024-03-17 20:00:00-04:00,0.949999988079071,1.0099999904632568,0.949999988079071,0.9800000190734863,63200
2024-03-18 20:00:00-04:00,0.9900000095367432,0.9900000095367432,0.949999988079071,0.9700000286102295,54100
2024-03-19 20:00:00-04:00,0.9800000190734863,1.0,0.949999988079071,0.9900000095367432,36100
2024-03-20 20:00:00-04:00,0.9800000190734863,1.0199999809265137,0.9599999785423279,0.9800000190734863,66900
2024-03-21 20:00:00-04:00,0.9900000095367432,1.0199999809265137,0.949999988079071,0.9900000095367432,40600
2024-03-24 20:00:00-04:00,1.0199999809265137,1.0199999809265137,0.949999988079071,1.0,38900
2024-03-25 20:00:00-04:00,0.9800000190734863,1.0,0.949999988079071,0.9599999785423279,100000
2024-03-26 20:00:00-04:00,1.0,1.090000033378601,0.9599999785423279,1.0099999904632568,88900
2024-03-27 20:00:00-04:00,1.0,1.0499999523162842,0.9800000190734863,0.9900000095367432,86600
2024-03-31 20:00:00-04:00,0.9700000286102295,0.9700000286102295,0.8899999856948853,0.8899999856948853,224800
2024-04-01 20:00:00-04:00,0.8899999856948853,0.9599999785423279,0.8899999856948853,0.9399999976158142,193700
2024-04-02 20:00:00-04:00,0.9399999976158142,0.9399999976158142,0.8999999761581421,0.9100000262260437,60900
