Price,Open,High,Low,Close,Volume
Ticker,ATGE,ATGE,ATGE,ATGE,ATGE
Date,,,,,
2024-01-01 19:00:00-05:00,58.47999954223633,58.959999084472656,58.0099983215332,58.810001373291016,325200
2024-01-02 19:00:00-05:00,58.81999969482422,60.02000045776367,58.13999938964844,59.61000061035156,423700
2024-01-03 19:00:00-05:00,59.33000183105469,59.97999954223633,59.11000061035156,59.209999084472656,359100
2024-01-04 19:00:00-05:00,58.81999969482422,59.220001220703125,56.90999984741211,56.90999984741211,441000
2024-01-07 19:00:00-05:00,57.25,57.459999084472656,56.16999816894531,57.43000030517578,332800
2024-01-08 19:00:00-05:00,57.20000076293945,57.380001068115234,56.59000015258789,56.880001068115234,299000
2024-01-09 19:00:00-05:00,57.15999984741211,58.04999923706055,57.15999984741211,57.439998626708984,306700
2024-01-10 19:00:00-05:00,57.31999969482422,57.84000015258789,56.470001220703125,57.83000183105469,271800
2024-01-11 19:00:00-05:00,58.08000183105469,58.70000076293945,57.61000061035156,58.689998626708984,202800
2024-01-15 19:00:00-05:00,58.380001068115234,59.619998931884766,58.380001068115234,58.81999969482422,280200
2024-01-16 19:00:00-05:00,58.36000061035156,59.349998474121094,58.36000061035156,58.58000183105469,236600
2024-01-17 19:00:00-05:00,58.95000076293945,59.310001373291016,58.09000015258789,58.970001220703125,272500
2024-01-18 19:00:00-05:00,61.4900016784668,62.15999984741211,60.34000015258789,62.02000045776367,505700
2024-01-21 19:00:00-05:00,62.34000015258789,62.970001220703125,61.91999816894531,62.209999084472656,372800
2024-01-22 19:00:00-05:00,62.5099983215332,62.9900016784668,61.560001373291016,61.599998474121094,313700
2024-01-23 19:00:00-05:00,62.209999084472656,62.349998474121094,60.65999984741211,61.02000045776367,303600
2024-01-24 19:00:00-05:00,61.63999938964844,61.77000045776367,60.56999969482422,61.18000030517578,278700
2024-01-25 19:00:00-05:00,61.02000045776367,61.630001068115234,59.810001373291016,60.369998931884766,354700
2024-01-28 19:00:00-05:00,60.630001068115234,61.06999969482422,58.310001373291016,58.630001068115234,582800
2024-01-29 19:00:00-05:00,47.540000915527344,50.58000183105469,43.779998779296875,47.68000030517578,5703400
2024-01-30 19:00:00-05:00,50.790000915527344,51.0,48.7599983215332,50.47999954223633,2306000
2024-01-31 19:00:00-05:00,50.86000061035156,51.9900016784668,45.45000076293945,46.720001220703125,1682100
2024-02-01 19:00:00-05:00,47.11000061035156,48.650001525878906,46.29999923706055,48.38999938964844,939400
2024-02-04 19:00:00-05:00,48.119998931884766,49.02000045776367,47.45000076293945,48.90999984741211,808500
2024-02-05 19:00:00-05:00,48.36000061035156,49.20000076293945,48.09000015258789,48.779998779296875,666800
2024-02-06 19:00:00-05:00,48.59000015258789,49.119998931884766,48.130001068115234,48.88999938964844,374000
2024-02-07 19:00:00-05:00,49.2599983215332,49.4900016784668,48.91999816894531,49.16999816894531,522500
2024-02-08 19:00:00-05:00,49.04999923706055,50.90999984741211,48.97999954223633,50.41999816894531,552500
2024-02-11 19:00:00-05:00,50.31999969482422,51.099998474121094,50.2599983215332,50.970001220703125,505800
2024-02-12 19:00:00-05:00,50.099998474121094,50.849998474121094,49.41999816894531,49.630001068115234,449100
2024-02-13 19:00:00-05:00,50.04999923706055,50.33000183105469,49.59000015258789,49.849998474121094,375200
2024-02-14 19:00:00-05:00,50.04999923706055,50.08000183105469,49.0099983215332,49.5099983215332,503000
2024-02-15 19:00:00-05:00,49.150001525878906,49.189998626708984,47.060001373291016,47.13999938964844,597800
2024-02-19 19:00:00-05:00,47.0,47.130001068115234,45.689998626708984,46.0,909900
2024-02-20 19:00:00-05:00,46.08000183105469,46.2400016784668,45.15999984741211,45.68000030517578,519600
2024-02-21 19:00:00-05:00,46.02000045776367,46.5,45.380001068115234,46.15999984741211,574600
2024-02-22 19:00:00-05:00,46.099998474121094,46.959999084472656,46.0,46.849998474121094,396500
2024-02-25 19:00:00-05:00,46.58000183105469,47.619998931884766,46.560001373291016,47.47999954223633,354700
2024-02-26 19:00:00-05:00,47.709999084472656,47.88999938964844,47.13999938964844,47.650001525878906,513800
2024-02-27 19:00:00-05:00,47.41999816894531,48.9900016784668,47.41999816894531,48.65999984741211,593100
2024-02-28 19:00:00-05:00,49.02000045776367,49.790000915527344,48.439998626708984,49.5,666100
2024-02-29 19:00:00-05:00,49.599998474121094,49.65999984741211,48.83000183105469,49.13999938964844,440000
2024-03-03 19:00:00-05:00,49.209999084472656,49.540000915527344,48.70000076293945,48.86000061035156,354600
2024-03-04 19:00:00-05:00,48.540000915527344,48.84000015258789,47.7400016784668,48.220001220703125,459800
2024-03-05 19:00:00-05:00,48.63999938964844,48.63999938964844,47.52000045776367,47.810001373291016,396700
2024-03-06 19:00:00-05:00,47.900001525878906,49.13999938964844,47.7400016784668,49.06999969482422,335200
2024-03-07 19:00:00-05:00,49.400001525878906,50.2400016784668,49.15999984741211,50.09000015258789,424300
2024-03-10 20:00:00-04:00,50.0,50.439998626708984,49.5099983215332,50.09000015258789,301100
2024-03-11 20:00:00-04:00,49.84000015258789,50.25,49.790000915527344,50.040000915527344,321900
2024-03-12 20:00:00-04:00,49.939998626708984,50.52000045776367,49.83000183105469,49.9900016784668,313000
2024-03-13 20:00:00-04:00,49.84000015258789,49.849998474121094,48.09000015258789,48.56999969482422,452200
2024-03-14 20:00:00-04:00,48.47999954223633,49.599998474121094,48.130001068115234,48.9900016784668,945900
2024-03-17 20:00:00-04:00,48.95000076293945,50.0099983215332,48.59000015258789,49.060001373291016,375100
2024-03-18 20:00:00-04:00,48.88999938964844,49.97999954223633,48.88999938964844,49.939998626708984,330400
2024-03-19 20:00:00-04:00,49.630001068115234,49.84000015258789,48.93000030517578,49.59000015258789,348000
2024-03-20 20:00:00-04:00,49.77000045776367,50.119998931884766,49.38999938964844,49.91999816894531,349400
2024-03-21 20:00:00-04:00,49.849998474121094,50.900001525878906,49.56999969482422,50.709999084472656,185200
2024-03-24 20:00:00-04:00,51.0,51.400001525878906,50.619998931884766,50.86000061035156,217100
2024-03-25 20:00:00-04:00,51.290000915527344,51.7400016784668,51.04999923706055,51.22999954223633,259300
2024-03-26 20:00:00-04:00,51.5,51.810001373291016,51.189998626708984,51.79999923706055,264100
2024-03-27 20:00:00-04:00,52.0,52.11000061035156,51.33000183105469,51.400001525878906,335800
2024-03-31 20:00:00-04:00,51.75,53.52000045776367,51.349998474121094,52.34000015258789,474800
