Price,Open,High,Low,Close,Volume
Ticker,SNA,SNA,SNA,SNA,SNA
Date,,,,,
2024-01-01 19:00:00-05:00,287.45001220703125,289.6499938964844,286.29998779296875,288.739990234375,211000
2024-01-02 19:00:00-05:00,286.7200012207031,287.17999267578125,282.79998779296875,282.8399963378906,200100
2024-01-03 19:00:00-05:00,283.1099853515625,285.3999938964844,281.989990234375,282.07000732421875,160200
2024-01-04 19:00:00-05:00,280.7799987792969,282.8900146484375,279.7900085449219,280.92999267578125,178500
2024-01-07 19:00:00-05:00,281.6000061035156,282.95001220703125,279.3299865722656,282.7900085449219,219600
2024-01-08 19:00:00-05:00,280.1600036621094,280.9800109863281,278.1499938964844,280.94000244140625,240300
2024-01-09 19:00:00-05:00,281.7699890136719,283.1199951171875,280.7099914550781,282.489990234375,157400
2024-01-10 19:00:00-05:00,282.8500061035156,284.2099914550781,280.2900085449219,284.1199951171875,183300
2024-01-11 19:00:00-05:00,286.07000732421875,286.07000732421875,282.95001220703125,283.9200134277344,110500
2024-01-15 19:00:00-05:00,282.8800048828125,285.7300109863281,282.32000732421875,285.0400085449219,270900
2024-01-16 19:00:00-05:00,283.3299865722656,285.7799987792969,282.1499938964844,283.010009765625,161200
2024-01-17 19:00:00-05:00,283.5,285.1499938964844,281.82000732421875,284.9599914550781,127600
2024-01-18 19:00:00-05:00,284.7900085449219,287.5899963378906,282.8599853515625,286.8599853515625,180200
2024-01-21 19:00:00-05:00,288.1600036621094,289.6600036621094,288.1300048828125,288.92999267578125,139500
2024-01-22 19:00:00-05:00,289.9800109863281,290.3999938964844,287.1400146484375,288.79998779296875,121800
2024-01-23 19:00:00-05:00,290.1499938964844,290.1499938964844,285.5400085449219,286.2799987792969,173300
2024-01-24 19:00:00-05:00,288.6700134277344,289.3800048828125,286.75,288.54998779296875,150200
2024-01-25 19:00:00-05:00,289.489990234375,290.8599853515625,288.3299865722656,289.6600036621094,164500
2024-01-28 19:00:00-05:00,289.5899963378906,292.3699951171875,287.5199890136719,291.8500061035156,273200
2024-01-29 19:00:00-05:00,290.9700012207031,295.2699890136719,290.67999267578125,294.30999755859375,197800
2024-01-30 19:00:00-05:00,294.30999755859375,295.0,288.9700012207031,289.92999267578125,277800
2024-01-31 19:00:00-05:00,291.2300109863281,291.6400146484375,288.1199951171875,290.04998779296875,414800
2024-02-01 19:00:00-05:00,288.8399963378906,293.760009765625,288.3299865722656,292.6099853515625,163200
2024-02-04 19:00:00-05:00,289.5,293.42999267578125,289.0899963378906,291.5,186800
2024-02-05 19:00:00-05:00,291.5,294.5,291.5,293.4200134277344,190800
2024-02-06 19:00:00-05:00,294.8699951171875,295.510009765625,292.9700012207031,294.5,263700
2024-02-07 19:00:00-05:00,287.0,288.0,266.0299987792969,266.0299987792969,776400
2024-02-08 19:00:00-05:00,266.04998779296875,268.1400146484375,261.2699890136719,262.42999267578125,472000
2024-02-11 19:00:00-05:00,262.0799865722656,268.1400146484375,262.0799865722656,267.739990234375,360700
2024-02-12 19:00:00-05:00,264.6700134277344,265.5,259.5400085449219,262.0899963378906,340200
2024-02-13 19:00:00-05:00,264.0,265.9599914550781,262.44000244140625,263.1400146484375,314500
2024-02-14 19:00:00-05:00,263.80999755859375,269.1199951171875,263.80999755859375,269.0,278000
2024-02-15 19:00:00-05:00,268.2900085449219,270.239990234375,266.67999267578125,267.239990234375,313300
2024-02-19 19:00:00-05:00,266.79998779296875,269.32000732421875,266.1700134277344,269.0400085449219,393200
