Price,Open,High,Low,Close,Volume
Ticker,MEDP,MEDP,MEDP,MEDP,MEDP
Date,,,,,
2024-01-01 19:00:00-05:00,304.2099914550781,308.19000244140625,302.2300109863281,305.5899963378906,161700
2024-01-02 19:00:00-05:00,301.5299987792969,301.9570007324219,294.3299865722656,296.1199951171875,184300
2024-01-03 19:00:00-05:00,294.0799865722656,297.510009765625,292.0,292.8500061035156,244500
2024-01-04 19:00:00-05:00,291.1199951171875,296.95001220703125,288.1000061035156,294.9700012207031,164200
2024-01-07 19:00:00-05:00,296.0,304.3699951171875,295.95001220703125,304.19000244140625,134000
2024-01-08 19:00:00-05:00,300.0,306.3190002441406,298.4200134277344,300.19000244140625,100300
2024-01-09 19:00:00-05:00,301.9800109863281,301.9800109863281,285.29998779296875,286.95001220703125,193800
2024-01-10 19:00:00-05:00,286.70001220703125,286.70001220703125,278.2749938964844,285.29998779296875,262300
2024-01-11 19:00:00-05:00,287.7099914550781,287.88800048828125,283.0799865722656,286.7300109863281,179900
2024-01-15 19:00:00-05:00,285.0,287.79998779296875,277.7200012207031,286.6700134277344,187200
2024-01-16 19:00:00-05:00,284.6099853515625,288.70001220703125,281.1600036621094,284.8699951171875,142300
2024-01-17 19:00:00-05:00,286.3800048828125,291.6199951171875,284.32000732421875,291.5199890136719,159400
2024-01-18 19:00:00-05:00,293.1400146484375,296.42999267578125,289.80499267578125,295.70001220703125,155100
2024-01-21 19:00:00-05:00,298.8299865722656,302.0799865722656,297.7799987792969,299.7900085449219,131300
2024-01-22 19:00:00-05:00,301.739990234375,301.739990234375,293.739990234375,299.0,116500
2024-01-23 19:00:00-05:00,301.7699890136719,301.7699890136719,296.010009765625,296.54998779296875,86300
2024-01-24 19:00:00-05:00,299.8800048828125,300.0,294.4639892578125,297.45001220703125,115100
2024-01-25 19:00:00-05:00,298.0199890136719,302.42999267578125,296.5,298.1600036621094,102100
2024-01-28 19:00:00-05:00,299.1400146484375,303.25,299.1400146484375,301.3500061035156,123900
2024-01-29 19:00:00-05:00,301.3999938964844,304.67999267578125,299.7200012207031,302.0,156100
2024-01-30 19:00:00-05:00,301.20001220703125,302.60400390625,290.2099914550781,291.5799865722656,152200
2024-01-31 19:00:00-05:00,292.7099914550781,295.6600036621094,286.7550048828125,295.1600036621094,206900
2024-02-01 19:00:00-05:00,291.69000244140625,296.6300048828125,288.7300109863281,295.6300048828125,150500
2024-02-04 19:00:00-05:00,292.75,297.29998779296875,291.1499938964844,295.2900085449219,131200
2024-02-05 19:00:00-05:00,296.42999267578125,302.92999267578125,293.3699951171875,302.5899963378906,132100
2024-02-06 19:00:00-05:00,302.55999755859375,310.9200134277344,301.80999755859375,308.760009765625,245400
2024-02-07 19:00:00-05:00,309.8299865722656,318.9599914550781,306.6549987792969,318.42999267578125,273000
2024-02-08 19:00:00-05:00,321.0400085449219,331.1000061035156,320.0,326.3900146484375,364500
2024-02-11 19:00:00-05:00,326.3800048828125,329.2300109863281,321.239990234375,324.2099914550781,399100
