Price,Open,High,Low,Close,Volume
Ticker,GGP.AX,GGP.AX,GGP.AX,GGP.AX,GGP.AX
Date,,,,,
2025-06-24 00:00:00+00:00,7.099999904632568,7.800000190734863,7.079999923706055,7.300000190734863,5984531
2025-06-25 00:00:00+00:00,7.389999866485596,7.400000095367432,7.190000057220459,7.199999809265137,3272403
2025-06-26 00:00:00+00:00,7.150000095367432,7.150000095367432,6.849999904632568,7.150000095367432,3602025
2025-06-27 00:00:00+00:00,7.300000190734863,7.579999923706055,7.170000076293945,7.190000057220459,1083133
2025-06-30 00:00:00+00:00,7.03000020980835,7.349999904632568,7.010000228881836,7.110000133514404,2131704
2025-07-01 00:00:00+00:00,7.0,7.099999904632568,6.949999809265137,7.0,2366684
2025-07-02 00:00:00+00:00,7.090000152587891,7.150000095367432,6.960000038146973,7.03000020980835,1035993
2025-07-03 00:00:00+00:00,7.0,7.150000095367432,6.909999847412109,7.019999980926514,2743122
2025-07-04 00:00:00+00:00,7.0,7.0,6.849999904632568,6.900000095367432,873895
2025-07-07 00:00:00+00:00,6.860000133514404,6.929999828338623,6.71999979019165,6.71999979019165,878025
2025-07-08 00:00:00+00:00,6.650000095367432,6.880000114440918,6.599999904632568,6.75,1975968
2025-07-09 00:00:00+00:00,6.599999904632568,6.670000076293945,6.440000057220459,6.550000190734863,1480743
2025-07-10 00:00:00+00:00,6.440000057220459,6.650000095367432,6.335000038146973,6.46999979019165,2300363
2025-07-11 00:00:00+00:00,6.5,6.659999847412109,6.46999979019165,6.590000152587891,1250456
2025-07-14 00:00:00+00:00,6.699999809265137,6.789999961853027,6.650000095367432,6.75,986591
2025-07-15 00:00:00+00:00,6.849999904632568,7.059999942779541,6.849999904632568,6.920000076293945,2516846
2025-07-16 00:00:00+00:00,6.860000133514404,6.940000057220459,6.710000038146973,6.78000020980835,696238
2025-07-17 00:00:00+00:00,6.800000190734863,6.840000152587891,6.699999809265137,6.71999979019165,551008
2025-07-18 00:00:00+00:00,6.699999809265137,6.75,6.619999885559082,6.670000076293945,303161
2025-07-21 00:00:00+00:00,6.630000114440918,6.889999866485596,6.550000190734863,6.71999979019165,1075766
2025-07-22 00:00:00+00:00,6.840000152587891,7.03000020980835,6.829999923706055,6.989999771118164,2831326
2025-07-23 00:00:00+00:00,7.050000190734863,7.309999942779541,7.050000190734863,7.150000095367432,1349139
2025-07-24 00:00:00+00:00,7.059999942779541,7.099999904632568,6.940000057220459,7.0,537011
2025-07-25 00:00:00+00:00,7.0,7.099999904632568,6.96999979019165,6.96999979019165,728810
2025-07-28 00:00:00+00:00,6.940000057220459,6.940000057220459,6.860000133514404,6.889999866485596,1402245
2025-07-29 00:00:00+00:00,6.199999809265137,6.199999809265137,5.224999904632568,5.239999771118164,13139459
2025-07-30 00:00:00+00:00,5.449999809265137,5.75,5.420000076293945,5.559999942779541,3145123
2025-07-31 00:00:00+00:00,5.5,5.5,5.170000076293945,5.300000190734863,2726463
2025-08-01 00:00:00+00:00,5.150000095367432,5.420000076293945,5.010000228881836,5.179999828338623,2428613
2025-08-04 00:00:00+00:00,5.489999771118164,5.489999771118164,5.099999904632568,5.260000228881836,2939935
2025-08-05 00:00:00+00:00,5.340000152587891,5.480000019073486,5.25,5.389999866485596,2651134
2025-08-06 00:00:00+00:00,5.349999904632568,5.550000190734863,5.320000171661377,5.380000114440918,1504578
2025-08-07 00:00:00+00:00,5.349999904632568,5.349999904632568,5.130000114440918,5.21999979019165,2534334
2025-08-08 00:00:00+00:00,5.099999904632568,5.239999771118164,4.965000152587891,5.150000095367432,2452598
2025-08-11 00:00:00+00:00,5.139999866485596,5.239999771118164,5.090000152587891,5.139999866485596,1264801
2025-08-12 00:00:00+00:00,5.03000020980835,5.099999904632568,4.96999979019165,5.010000228881836,5701070
2025-08-13 00:00:00+00:00,4.96999979019165,5.070000171661377,4.909999847412109,4.980000019073486,5495445
2025-08-14 00:00:00+00:00,5.019999980926514,5.300000190734863,5.005000114440918,5.079999923706055,2303822
2025-08-15 00:00:00+00:00,5.300000190734863,5.46999979019165,5.210000038146973,5.349999904632568,2357446
2025-08-18 00:00:00+00:00,5.329999923706055,5.400000095367432,5.284999847412109,5.349999904632568,1529387
2025-08-19 00:00:00+00:00,5.46999979019165,5.570000171661377,5.380000114440918,5.46999979019165,1321744
2025-08-20 00:00:00+00:00,5.440000057220459,5.590000152587891,5.380000114440918,5.46999979019165,2560229
2025-08-21 00:00:00+00:00,5.570000171661377,5.590000152587891,5.449999809265137,5.480000019073486,1467395
2025-08-22 00:00:00+00:00,5.590000152587891,5.590000152587891,5.380000114440918,5.380000114440918,2111130
2025-08-25 00:00:00+00:00,5.599999904632568,5.630000114440918,5.489999771118164,5.550000190734863,1580687
